0,12.5,17.5,17.5,42.5,17.5,12.5,2.5,10.0,15.0,17.5,40.0,50.0,27.5,15.0,5.0,20.0,12.5,22.5,35.0,52.5,22.5,2.5,12.5,15.0,10.0,32.5,40.0,45.0,32.5,15.0,7.5,2.5,20.0,27.5,30.0,27.5,32.5,27.5,5.0,0.0,17.5,12.5,17.5,17.5,10.0,10.0,5.0,7.5,10.0,7.5,7.5,12.5,0.0,5.0,5.0,7.5,17.5,5.0,7.5,12.5,5.0,7.5,10.0,12.5
1,17.5,15.0,22.5,32.5,15.0,12.5,10.0,12.5,12.5,20.0,42.5,50.0,17.5,20.0,10.0,20.0,10.0,20.0,35.0,50.0,15.0,7.5,15.0,17.5,7.5,32.5,37.5,37.5,32.5,20.0,7.5,10.0,20.0,27.5,30.0,30.0,32.5,30.0,12.5,10.0,15.0,10.0,15.0,25.0,12.5,17.5,12.5,10.0,12.5,7.5,15.0,10.0,2.5,0.0,7.5,5.0,17.5,7.5,12.5,7.5,7.5,7.5,7.5,12.5
2,12.5,15.0,17.5,22.5,7.5,10.0,10.0,7.5,12.5,12.5,35.0,47.5,10.0,20.0,7.5,17.5,7.5,20.0,32.5,45.0,12.5,5.0,10.0,10.0,10.0,35.0,35.0,37.5,32.5,25.0,10.0,5.0,22.5,22.5,25.0,30.0,30.0,27.5,12.5,5.0,15.0,10.0,17.5,20.0,7.5,10.0,12.5,12.5,7.5,7.5,7.5,10.0,0.0,2.5,10.0,12.5,12.5,7.5,12.5,10.0,5.0,7.5,5.0,7.5
3,17.5,20.0,25.0,30.0,15.0,20.0,12.5,15.0,22.5,20.0,37.5,55.0,22.5,25.0,12.5,27.5,17.5,27.5,42.5,55.0,22.5,12.5,25.0,22.5,12.5,37.5,40.0,42.5,37.5,32.5,15.0,17.5,30.0,32.5,35.0,37.5,37.5,40.0,35.0,17.5,20.0,17.5,20.0,27.5,17.5,20.0,25.0,17.5,15.0,15.0,12.5,15.0,0.0,12.5,15.0,17.5,17.5,15.0,20.0,15.0,17.5,12.5,12.5,20.0
4,7.5,10.0,15.0,20.0,7.5,12.5,5.0,7.5,5.0,7.5,30.0,42.5,20.0,15.0,7.5,17.5,10.0,15.0,30.0,42.5,15.0,2.5,10.0,12.5,12.5,32.5,32.5,37.5,27.5,25.0,10.0,0.0,22.5,22.5,25.0,32.5,30.0,30.0,27.5,10.0,5.0,5.0,15.0,17.5,7.5,12.5,10.0,12.5,10.0,7.5,2.5,7.5,0.0,5.0,5.0,7.5,7.5,0.0,2.5,7.5,2.5,7.5,5.0,15.0
5,12.5,15.0,15.0,25.0,12.5,15.0,5.0,10.0,12.5,10.0,32.5,37.5,27.5,20.0,12.5,15.0,10.0,17.5,32.5,45.0,25.0,7.5,17.5,10.0,10.0,35.0,35.0,40.0,32.5,27.5,17.5,7.5,25.0,30.0,25.0,35.0,32.5,35.0,37.5,17.5,10.0,12.5,20.0,22.5,10.0,12.5,20.0,10.0,15.0,7.5,7.5,7.5,7.5,0.0,12.5,5.0,12.5,2.5,10.0,7.5,12.5,7.5,12.5,7.5
6,10.0,15.0,20.0,35.0,22.5,15.0,7.5,7.5,12.5,12.5,32.5,42.5,32.5,15.0,12.5,20.0,10.0,15.0,32.5,47.5,27.5,2.5,12.5,12.5,17.5,30.0,35.0,40.0,35.0,30.0,17.5,10.0,30.0,25.0,30.0,32.5,32.5,32.5,32.5,15.0,10.0,10.0,12.5,22.5,10.0,15.0,15.0,15.0,10.0,7.5,5.0,7.5,7.5,5.0,10.0,7.5,12.5,0.0,12.5,7.5,2.5,12.5,10.0,10.0
7,10.0,12.5,17.5,35.0,15.0,15.0,7.5,10.0,15.0,15.0,32.5,47.5,32.5,17.5,12.5,20.0,12.5,20.0,37.5,50.0,32.5,12.5,17.5,15.0,20.0,35.0,37.5,40.0,35.0,32.5,17.5,7.5,27.5,35.0,30.0,37.5,35.0,32.5,35.0,15.0,12.5,12.5,15.0,25.0,12.5,17.5,22.5,15.0,7.5,10.0,7.5,10.0,0.0,7.5,12.5,15.0,12.5,10.0,10.0,7.5,7.5,10.0,7.5,12.5
8,10.0,20.0,20.0,32.5,15.0,20.0,7.5,12.5,20.0,12.5,35.0,42.5,35.0,12.5,7.5,15.0,7.5,17.5,37.5,45.0,25.0,7.5,17.5,17.5,20.0,30.0,35.0,35.0,35.0,35.0,15.0,10.0,30.0,32.5,27.5,37.5,40.0,35.0,35.0,15.0,17.5,15.0,20.0,22.5,12.5,17.5,20.0,15.0,15.0,7.5,7.5,10.0,0.0,7.5,5.0,10.0,17.5,12.5,10.0,5.0,10.0,10.0,7.5,12.5
9,7.5,10.0,7.5,27.5,7.5,10.0,0.0,2.5,7.5,7.5,27.5,37.5,22.5,12.5,7.5,10.0,0.0,17.5,25.0,42.5,17.5,7.5,7.5,5.0,10.0,22.5,30.0,37.5,25.0,25.0,12.5,2.5,20.0,22.5,22.5,27.5,27.5,25.0,27.5,5.0,10.0,5.0,15.0,20.0,5.0,12.5,10.0,10.0,5.0,7.5,5.0,2.5,0.0,0.0,0.0,7.5,5.0,0.0,7.5,5.0,2.5,5.0,5.0,2.5
